#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h28 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
3623;43.3381;0.4159;GWL15;13.63;21.11;6.7;26.05;4.5;23.5;8.4;883.48;167.97;237.93;26.1;44.38;4.2;2;91;1.33;1.43;1.39;1.62;3.2;10.9;5.8;0.6;1;23;0;-0.08;0.07;0.05;0.04;
3624;43.3398;0.5143;GWL15;13.49;20.98;6.57;25.92;4.3;23.5;8;902.48;169.54;242.39;26.79;43.95;4.3;2;87;1.35;1.44;1.38;1.69;3.1;10.8;5.6;0.6;1;25;0;-0.08;0.07;0.04;0.03;
3625;43.3415;0.6128;GWL15;13.35;20.82;6.45;25.56;4.4;22;10.6;839.6;156.67;231.7;24.47;41.81;4.4;2;90;1.36;1.5;1.39;1.74;3.2;10.6;7.4;0.7;1;28;0;-0.09;0.07;0.05;0.04;
3764;43.4063;0.2163;GWL15;13.93;21.22;7.08;25.82;4.6;23.5;12.8;926.23;173.98;260.39;26.99;46.16;4.2;1;92;1.35;1.49;1.4;1.61;3.3;11.2;8.3;0.6;1;30;0;-0.07;0.07;0.04;0.11;
3765;43.4082;0.3149;GWL15;13.62;21.12;6.64;25.91;4.8;24;10.6;818.16;152.39;225.49;23.76;41.92;4.3;2;80;1.37;1.49;1.37;1.64;3.1;11.4;7.2;0.7;1;33;0;-0.07;0.08;0.05;0.1;
3766;43.41;0.4134;GWL15;13.83;21.34;6.87;26.26;5.2;25.8;11.2;799.87;150.76;222.79;23.45;39.88;4.1;2;112;1.36;1.47;1.39;1.63;3.6;11.3;7.7;0.4;1;27;0.01;-0.09;0.06;0.06;0.1;
3767;43.4117;0.512;GWL15;13.64;21.18;6.7;26.03;4.8;24.2;10.9;821.42;152.77;226.82;23.9;41.21;4.4;2;107;1.35;1.46;1.38;1.7;3.3;11.1;7.7;0.7;1;24;0;-0.09;0.07;0.05;0.05;
3768;43.4133;0.6106;GWL15;13.63;21.16;6.69;26;4.8;24;10.9;822.35;154.63;227.08;23.94;41.24;4.4;2;112;1.35;1.46;1.38;1.7;3.3;11.1;7.5;0.8;1;20;0;-0.09;0.07;0.05;0.06;
3769;43.4149;0.7092;GWL15;13.78;21.51;6.61;26.32;5.2;25.2;15.7;725.2;144.83;187.63;22.48;39.62;4.1;4;142;1.4;1.55;1.36;1.71;3.8;11.3;10.6;0.4;2;22;0.01;-0.08;0.07;0.06;0.1;
3770;43.4163;0.8078;GWL15;14.02;21.78;6.85;26.68;5.4;27;17.1;706.14;143.06;183.04;22.12;40.07;4.2;4;136;1.41;1.51;1.35;1.69;3.9;12.3;11.7;0.5;2;19;0.01;-0.09;0.06;0.05;0.09;
3771;43.4177;0.9064;GWL15;14;21.77;6.84;26.65;5.4;27;17;707.12;143.36;183.43;22.52;40.11;4.2;4;133;1.41;1.52;1.35;1.7;3.9;12.3;11.7;0.5;2;13;0.01;-0.09;0.06;0.07;0.09;
3772;43.4189;1.005;GWL15;13.86;21.63;6.74;26.48;5.2;26.3;17.2;709.16;147.3;182.48;22.08;40.7;4;4;126;1.42;1.55;1.34;1.76;3.8;11.9;11.9;0.4;2;18;0.01;-0.05;0.06;0.05;0.08;
3907;43.4782;0.2136;GWL15;14.04;21.35;7.17;26.04;4.6;24.2;12.9;918.5;174.64;260.26;26.65;45.06;4.2;1;84;1.35;1.47;1.39;1.6;3.2;11.6;8.3;0.6;1;30;0;-0.07;0.07;0.04;0.1;
3908;43.4801;0.3123;GWL15;13.78;21.32;6.83;26.2;5;24.5;11.1;807.56;156.47;224.5;23.7;40.57;4.1;2;106;1.36;1.47;1.39;1.64;3.5;11.2;7.7;0.4;1;29;0.01;-0.09;0.07;0.06;0.1;
3909;43.4819;0.411;GWL15;13.91;21.46;6.94;26.39;5.2;26.5;11.6;801.31;155.38;222.47;23.22;39.68;4.1;2;109;1.35;1.46;1.39;1.62;3.7;11.6;7.8;0.3;1;29;0.01;-0.08;0.06;0.06;0.1;
3910;43.4836;0.5097;GWL15;13.82;21.36;6.85;26.26;5.2;25.1;11.4;812.1;158.47;222.11;24;40.35;4.1;2;109;1.37;1.48;1.38;1.67;3.7;11.2;7.9;0.5;1;23;0.01;-0.08;0.06;0.07;0.06;
3911;43.4852;0.6085;GWL15;13.8;21.33;6.85;26.24;5.4;25;11.4;816.99;157.84;220.81;23.52;40.73;4;2;116;1.39;1.49;1.37;1.7;4;11;8.1;0.2;1;20;0.01;-0.06;0.05;0.04;0.06;
3912;43.4868;0.7072;GWL15;13.96;21.68;6.79;26.57;5.4;26.3;16.1;714.29;151.65;187.35;21.77;38.75;4;4;144;1.41;1.52;1.36;1.68;3.9;11.7;10.9;0.4;2;17;0.01;-0.05;0.05;0.03;0.05;
3913;43.4882;0.8059;GWL15;13.94;21.68;6.81;26.53;5.2;26.6;16.3;707.71;140.56;186.75;21.75;38.09;4.1;3;125;1.43;1.54;1.34;1.7;3.8;11.8;11.2;0.4;2;17;0.01;-0.11;0.06;0.03;0.06;
3914;43.4896;0.9046;GWL15;14.19;21.95;7.02;26.89;5.8;28;17.3;694.33;138.31;182.64;21.86;37.64;4.1;4;122;1.42;1.5;1.34;1.66;4.2;12.4;11.7;0.4;2;14;0.01;-0.11;0.06;0.03;0.06;
3915;43.4908;1.0034;GWL15;14.12;21.91;6.98;26.86;5.7;28.1;18.1;695;144.29;179.43;21.59;40.19;4;4;124;1.41;1.52;1.33;1.72;4.1;13.2;12.4;0.4;2;16;0.01;-0.05;0.06;0.05;0.08;
4049;43.5481;0.1121;GWL15;14.31;21.69;7.41;26.48;5.2;26.9;12.6;895.43;172.43;255.36;26.46;44.06;4.2;1;103;1.33;1.45;1.32;1.51;3.6;12;8.3;0.6;0;27;0;-0.07;0.07;0.07;0.08;
4050;43.55;0.211;GWL15;13.89;21.43;6.89;26.32;4.9;25.5;11.5;806.96;150.46;222.09;24.11;41.17;4.1;2;118;1.36;1.46;1.34;1.61;3.3;11.5;7.8;0.5;1;27;0;-0.09;0.06;0.07;0.11;
4051;43.5519;0.3098;GWL15;13.92;21.47;6.94;26.36;5;26.1;11.5;803.02;154.15;222.26;24;41.25;4;2;111;1.37;1.48;1.35;1.62;3.4;11.5;7.9;0.4;1;23;0;-0.07;0.06;0.07;0.12;
4052;43.5538;0.4086;GWL15;14.06;21.62;7.06;26.56;5.2;27.3;12.1;795.19;152.78;220.12;23.77;40.82;4;2;117;1.37;1.46;1.35;1.6;3.6;11.8;8.2;0.3;1;18;0;-0.07;0.06;0.07;0.12;
