#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h12 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL15 : Niveau de réchauffement Monde 1.5 degrés -> 2030 / France +2°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
3623;43.3381;0.4159;GWL15;13.4;20.49;6.15;25.24;1.8;15.4;5.7;811.44;141.62;206.14;23.56;38.34;2.7;0;58;1.1;0.82;0.78;0.84;0.4;2.9;2.9;-0.9;0;-1;-0.09;-0.22;-0.09;-0.05;-0.15;
3624;43.3398;0.5143;GWL15;13.25;20.38;6.04;25.06;1.8;15.4;5.1;830.83;146.56;205.38;23.4;37.87;3.2;0;62;1.11;0.88;0.78;0.85;0.4;3.2;2.9;-0.5;0;2;-0.08;-0.2;-0.1;-0.04;-0.1;
3625;43.3415;0.6128;GWL15;13.11;20.2;5.88;24.67;1.7;14.3;6.7;770.3;132.47;196.27;21.52;35.83;3.2;0;59;1.12;0.93;0.78;0.86;0.5;3.1;3.7;-0.5;0;-1;-0.09;-0.22;-0.1;-0.05;-0.1;
3764;43.4063;0.2163;GWL15;13.69;20.5;6.52;25.04;1.6;15.3;9.1;838.19;145.05;219.81;24.37;41.59;2.9;0;58;1.13;0.82;0.75;0.88;0.1;3.2;4.7;-0.7;0;-7;-0.1;-0.22;-0.11;-0.05;-0.1;
3765;43.4082;0.3149;GWL15;13.37;20.45;6.16;25.12;2;16.1;6.9;739.9;127.13;189.72;21.73;37.51;2.8;0;41;1.11;0.85;0.78;0.87;0.4;3.4;3.5;-0.9;0;-6;-0.1;-0.23;-0.11;-0.03;-0.12;
3766;43.41;0.4134;GWL15;13.59;20.75;6.33;25.45;2;17.4;7.8;737.85;125.16;186.76;21.34;36.64;3;0;80;1.1;0.88;0.82;0.85;0.4;3.8;4.2;-0.6;0;-9;-0.09;-0.24;-0.14;-0.04;-0.08;
3767;43.4117;0.512;GWL15;13.41;20.55;6.14;25.16;2;16.5;6.7;742.36;127.77;184.94;21.01;35.08;3;0;78;1.11;0.9;0.81;0.85;0.4;4;3.6;-0.5;0;-4;-0.09;-0.23;-0.15;-0.05;-0.13;
3768;43.4133;0.6106;GWL15;13.39;20.53;6.13;25.13;1.9;16.3;6.7;743.59;127.94;185.46;21.03;35.12;3;0;85;1.11;0.9;0.81;0.85;0.3;3.9;3.7;-0.7;0;-3;-0.09;-0.23;-0.15;-0.06;-0.13;
3769;43.4149;0.7092;GWL15;13.53;20.87;6.09;25.43;2;17.2;11.1;655.48;124.81;156.37;20.61;34.43;3.5;0;114;1.14;0.95;0.83;0.85;0.4;4;5.8;-0.2;0;-3;-0.07;-0.2;-0.14;-0.01;-0.09;
3770;43.4163;0.8078;GWL15;13.77;21.2;6.3;25.82;2.3;19;11.1;644.33;121.88;151.93;20.08;34.09;3.2;0;108;1.13;0.99;0.84;0.85;0.6;4.3;6.3;-0.5;0;-8;-0.08;-0.2;-0.15;-0.04;-0.08;
3771;43.4177;0.9064;GWL15;13.76;21.18;6.29;25.79;2.3;18.9;11.1;644.75;122.05;152.15;20.1;34.12;3.2;0;106;1.13;0.99;0.82;0.85;0.6;4.2;6.3;-0.5;0;-9;-0.08;-0.2;-0.15;-0.04;-0.08;
3772;43.4189;1.005;GWL15;13.6;21.04;6.13;25.57;2.3;17.9;10.6;637.91;122.68;154.16;19.7;33.98;3.2;1;100;1.13;0.99;0.82;0.87;0.9;4.6;5.9;-0.5;0;-9;-0.1;-0.2;-0.13;-0.05;-0.1;
3907;43.4782;0.2136;GWL15;13.8;20.63;6.63;25.24;1.9;16.1;9.2;831;145.73;217.89;24.23;41.3;3;0;49;1.12;0.81;0.78;0.87;0.3;3.4;4.8;-0.7;0;-5;-0.1;-0.22;-0.13;-0.04;-0.1;
3908;43.4801;0.3123;GWL15;13.55;20.69;6.29;25.38;2;16.9;7.4;740.32;128.01;187.37;22.11;36.73;3.1;0;72;1.1;0.88;0.79;0.85;0.4;3.6;4.3;-0.6;0;-13;-0.09;-0.22;-0.15;-0.02;-0.08;
3909;43.4819;0.411;GWL15;13.68;20.84;6.4;25.58;2;18;7.9;725.81;128.07;182.08;21.89;36.47;3.1;0;79;1.1;0.87;0.8;0.84;0.4;4;4.4;-0.6;0;-10;-0.09;-0.21;-0.17;-0.02;-0.08;
3910;43.4836;0.5097;GWL15;13.56;20.75;6.34;25.42;1.9;17.2;7.8;722.93;124.48;176.77;21.73;35;3.2;0;80;1.1;0.91;0.81;0.86;0.4;3.9;4.2;-0.4;0;-11;-0.09;-0.23;-0.18;-0.03;-0.06;
3911;43.4852;0.6085;GWL15;13.54;20.75;6.3;25.38;2;17.5;7.7;724.46;123.81;177.12;21.89;35.05;3;0;90;1.1;0.94;0.79;0.86;0.4;4.4;4.6;-0.7;0;-6;-0.09;-0.23;-0.18;-0.03;-0.06;
3912;43.4868;0.7072;GWL15;13.71;21.08;6.24;25.72;2.1;18.2;11.4;631.29;115.87;148.62;20.45;32.42;3.2;1;119;1.13;0.94;0.83;0.85;0.5;4.2;6;-0.5;0;-9;-0.1;-0.23;-0.17;-0.03;-0.12;
3913;43.4882;0.8059;GWL15;13.67;21.08;6.2;25.68;2.2;18.4;10.8;636.51;115.81;149.38;20.26;34.28;3.2;1;94;1.13;0.99;0.84;0.86;0.5;4.3;6;-0.6;0;-13;-0.09;-0.24;-0.16;-0.05;-0.07;
3914;43.4896;0.9046;GWL15;13.92;21.36;6.42;26.06;2.3;19.9;11.7;624.96;113.61;146.65;19.85;33.74;3.3;1;93;1.12;0.96;0.82;0.85;0.7;4.6;6.3;-0.4;0;-13;-0.09;-0.24;-0.16;-0.05;-0.07;
3915;43.4908;1.0034;GWL15;13.86;21.34;6.37;25.98;2.5;19.6;11.1;626.06;120.12;151.07;19.33;33.47;3.2;1;91;1.12;0.97;0.83;0.86;0.8;4.9;5.8;-0.5;0;-12;-0.1;-0.2;-0.13;-0.05;-0.1;
4049;43.5481;0.1121;GWL15;14.09;20.95;6.86;25.74;2.5;18.4;9.1;830.06;145.11;217.72;22.9;40.1;2.8;0;69;1.11;0.76;0.8;0.85;0.9;3.7;4.5;-0.8;0;-8;-0.08;-0.21;-0.12;-0.07;-0.04;
4050;43.55;0.211;GWL15;13.63;20.76;6.41;25.52;2;17.6;7.9;729.73;127.24;185.65;21.69;34.77;3;0;80;1.1;0.86;0.79;0.86;0.5;3.7;3.9;-0.6;0;-16;-0.09;-0.22;-0.15;-0.05;-0.07;
4051;43.5519;0.3098;GWL15;13.66;20.83;6.41;25.56;2.2;18.3;8.1;727.31;128.1;182.63;22.38;36.43;3.5;0;78;1.1;0.89;0.79;0.85;0.6;4.3;4.3;-0.2;0;-18;-0.09;-0.21;-0.17;-0.01;-0.07;
4052;43.5538;0.4086;GWL15;13.79;20.98;6.54;25.77;2.2;19;8.6;719.47;126.87;180.45;22.18;36.03;3.2;0;87;1.1;0.88;0.8;0.84;0.6;4.3;4.3;-0.4;0;-19;-0.09;-0.21;-0.17;-0.01;-0.07;
4053;43.5555;0.5074;GWL15;13.65;20.84;6.41;25.54;2;17.9;7.9;718.56;123.98;175.9;21.76;34.65;3.3;0;90;1.1;0.91;0.81;0.85;0.4;4.3;4.7;-0.4;0;-12;-0.09;-0.23;-0.18;-0.03;-0.07;
4054;43.5571;0.6063;GWL15;13.68;20.91;6.43;25.61;2;17.9;7.8;717.04;119.94;175.52;21.7;34.6;3;0;95;1.1;0.94;0.79;0.86;0.5;3.9;4.8;-0.7;0;-9;-0.09;-0.24;-0.18;-0.03;-0.07;
4055;43.5586;0.7051;GWL15;13.41;20.77;5.91;25.33;2.2;17;10.9;663.12;129.55;156.12;21.04;33.92;3.4;1;69;1.14;0.97;0.84;0.87;0.6;3.9;5.7;-0.3;0;-9;-0.1;-0.23;-0.16;-0.04;-0.11;
4056;43.5601;0.804;GWL15;13.91;21.35;6.41;26.04;2.2;19.7;11.8;625.04;113.71;146.91;19.59;33.96;3.4;1;96;1.12;0.96;0.83;0.85;0.5;4.6;6.3;-0.2;0;-13;-0.09;-0.24;-0.17;-0.05;-0.07;
4057;43.5614;0.9028;GWL15;13.85;21.32;6.34;25.99;2.2;19.5;10.9;636.33;122.58;149.02;19.67;34.07;3.3;1;91;1.12;0.97;0.82;0.89;0.5;4.6;5.8;-0.4;0;-16;-0.1;-0.22;-0.17;-0.05;-0.1;
4058;43.5627;1.0017;GWL15;14.01;21.5;6.49;26.24;2.3;20.8;11.6;628.16;121.09;150;19.38;32.75;3.2;1;95;1.12;0.96;0.83;0.87;0.6;5;6;-0.5;0;-14;-0.1;-0.22;-0.14;-0.04;-0.1;
4059;43.5639;1.1006;GWL15;13.72;21.18;6.23;25.8;2.2;18.9;10.1;623.68;119.74;151.64;19.42;34.14;2.8;1;94;1.13;0.98;0.82;0.9;0.6;4.7;4.9;-0.8;0;-5;-0.11;-0.22;-0.14;-0.09;-0.1;
4189;43.6134;-0.1874;GWL15;14.17;21.06;6.92;25.87;2.7;19.2;9.4;823.78;136.1;219.35;23.63;39.62;3;0;61;1.11;0.77;0.79;0.83;1.1;3.7;4.7;-0.6;0;-8;-0.09;-0.22;-0.11;-0.05;-0.01;
