#-----------------------------------------------------------------------------
# Date d'extraction : 23/09/2025 - 14h18 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
3319;43.1483;-1.3459;REF;11.7;18.12;5.64;21.95;0.4;6.2;2.7;1695.17;287.88;494.43;46.1;70.39;3.7;0;26;
3320;43.1517;-1.2479;REF;12.7;19.06;6.56;23.36;1;10.1;3.1;1547.95;264.32;450;41.97;66.08;3.6;0;51;
3321;43.1549;-1.1498;REF;12.09;18.31;6.14;22.18;0.5;6.9;2.9;1599.62;279.61;457.3;40.36;63.94;3.6;0;23;
3322;43.158;-1.0517;REF;11.27;17.72;5.22;21.39;0.2;4.7;2.8;1744.07;299.35;509.38;47.37;72.76;3.7;0;17;
3323;43.1611;-0.9536;REF;12.12;18.33;6.14;22.21;0.5;7;2.8;1592.32;279.61;452.46;40.47;62.7;3.6;0;30;
3324;43.164;-0.8555;REF;12.23;18.43;6.28;22.39;0.5;7.5;2.9;1578.07;275.78;449.55;40.44;63.36;3.6;0;30;
3325;43.1669;-0.7574;REF;12.33;18.53;6.35;22.54;0.6;7.9;2.8;1561.78;273.45;446.08;39.63;63.42;3.6;0;27;
3326;43.1697;-0.6593;REF;12.57;19.32;6.15;23.67;1.2;11.3;3;1293.36;257.03;339.47;33.14;54.66;3.6;0;36;
3327;43.1724;-0.5611;REF;12.51;19.26;6.1;23.6;1.1;11.1;2.9;1299.6;257.13;340.54;33.33;54.79;3.6;0;32;
3328;43.175;-0.463;REF;12.29;19;5.92;23.25;1;9.5;2.6;1324.64;260.34;348.11;33.51;55.17;3.6;0;38;
3329;43.1775;-0.3648;REF;12.27;18.99;5.91;23.22;1;9.5;2.6;1322.46;261.53;347.11;33.55;54.51;3.6;0;45;
3330;43.1799;-0.2667;REF;12.55;19.3;6.13;23.64;1.2;11.3;2.9;1292.91;255.68;340.86;32.84;53.36;3.7;0;30;
3331;43.1823;-0.1685;REF;12.15;18.84;5.81;23.01;0.9;9;2.5;1337.93;266.66;351.99;34.32;56.16;3.7;0;24;
3332;43.1845;-0.0703;REF;11.64;18.45;5.19;22.06;0.3;6.3;5.2;1062.93;214.34;275.6;29.97;53.3;3.6;0;47;
3462;43.2201;-1.3505;REF;12.04;18.45;5.95;22.45;0.5;7.5;2.8;1643.05;278.26;479.56;44.48;69.59;3.6;0;34;
3463;43.2235;-1.2523;REF;12.79;19.16;6.64;23.46;1;10.4;3.3;1536.55;262.77;446.05;41.79;63.94;3.6;0;45;
3464;43.2267;-1.1541;REF;12.52;18.71;6.51;22.82;0.7;8.5;2.9;1536.2;270.6;438.62;39.2;61.09;3.6;0;38;
3465;43.2298;-1.0559;REF;12.84;19.06;6.8;23.19;0.8;9.3;3.5;1503.06;264.54;427.86;38.48;59.89;3.6;0;46;
3466;43.2329;-0.9577;REF;12.84;19.06;6.8;23.19;0.9;9.3;3.3;1497.23;263.6;427.44;38.31;59.37;3.6;0;49;
3467;43.2359;-0.8595;REF;12.97;19.2;6.92;23.35;0.9;9.8;3.6;1483.46;260.96;422.92;37.95;58.94;3.6;0;40;
3468;43.2387;-0.7613;REF;12.92;19.15;6.87;23.29;0.9;9.7;3.5;1490.8;261.37;424.64;37.83;58.08;3.6;0;40;
3469;43.2415;-0.663;REF;13.04;19.85;6.54;24.26;1.2;12.9;4.2;1252.32;249.52;326.54;31.74;51.15;3.6;0;32;
3470;43.2442;-0.5647;REF;12.65;19.42;6.21;23.77;1.2;11.7;3;1284.4;255.71;334.27;32.63;52.17;3.6;0;38;
3471;43.2468;-0.4665;REF;12.76;19.54;6.31;23.92;1.2;11.9;3.5;1276.95;253.47;331.92;32.3;51.33;3.7;0;42;
3472;43.2494;-0.3682;REF;12.72;19.49;6.28;23.86;1.2;11.8;3.2;1279.66;252.94;336.79;32.5;53.29;3.7;0;32;
3473;43.2518;-0.2699;REF;12.79;19.57;6.33;23.94;1.2;12.1;3.3;1273.79;251.84;335.47;32.34;52.73;3.7;0;32;
3474;43.2541;-0.1716;REF;12.27;18.99;5.91;23.23;1;9.7;2.6;1320.48;262.91;348.07;33.45;52.77;3.6;0;26;
3475;43.2564;-0.0733;REF;11.75;18.62;5.25;22.34;0.5;7;5.1;1052.52;210.76;270.05;29.42;48.93;3.6;0;45;
3604;43.2885;-1.4534;REF;12.17;18.39;6.19;22.3;0.5;7.2;2.8;1588.98;277.52;454.18;40.34;63.18;3.6;0;18;
3605;43.2919;-1.3551;REF;12.71;18.92;6.68;23.04;0.8;9.1;3.2;1520.88;266.25;433.15;38.73;61.86;3.6;0;38;
3606;43.2953;-1.2568;REF;12.46;18.66;6.45;22.75;0.7;8.3;2.9;1544.74;270.02;440.01;39.34;60.46;3.6;0;47;
3607;43.2985;-1.1585;REF;13.18;19.43;7.11;23.6;0.9;10.2;4.2;1459.85;257.04;416.76;37.35;58.09;3.6;0;52;
3608;43.3017;-1.0602;REF;13.52;19.8;7.42;24.02;1;11.4;5.2;1424.16;250.62;406.53;36.34;57.12;3.7;0;50;
3609;43.3047;-0.9618;REF;13.51;19.78;7.4;24;1.1;11.4;5.1;1429.48;248.5;406.19;36.58;55.66;3.6;0;53;
3610;43.3077;-0.8635;REF;13.42;19.69;7.33;23.89;1.1;11.2;4.8;1433.48;250.69;408.74;36.35;55.57;3.6;0;41;
3611;43.3106;-0.7651;REF;13.41;20.27;6.86;24.74;1.4;14.8;5.4;1219.85;243.18;319.49;30.83;47.61;3.6;0;36;
3612;43.3134;-0.6668;REF;12.99;19.8;6.5;24.2;1.2;12.7;4;1256.08;250.23;327.53;31.89;51.2;3.6;0;47;
3613;43.3161;-0.5684;REF;13.25;20.09;6.73;24.53;1.3;14.1;4.7;1233.61;245.85;322.02;31.23;49.22;3.6;0;42;
3614;43.3187;-0.47;REF;13.25;20.09;6.73;24.53;1.3;14;4.7;1233.69;245.85;322.42;31.22;49.22;3.6;0;34;
3615;43.3212;-0.3716;REF;13.09;19.91;6.59;24.33;1.2;13.2;4.3;1246.87;248.59;325.92;31.67;50.28;3.6;0;45;
3616;43.3236;-0.2732;REF;12.65;19.41;6.21;23.78;1.1;11.7;3.1;1279.97;255.68;335.78;32.68;51.33;3.6;0;27;
3617;43.326;-0.1748;REF;12.1;18.79;5.66;22.65;0.8;7.9;4.5;1104.91;212.83;293.06;29.71;46.6;3.6;0;39;
3618;43.3282;-0.0764;REF;11.95;18.89;5.34;22.82;0.7;8.5;4.4;1023.92;206.16;263.56;28.71;46.14;3.6;0;43;
3744;43.3495;-1.7534;REF;13.9;19.55;8.32;22.63;0.3;5.9;8.9;1386.94;257.38;376.21;38.91;63.3;3.7;0;36;
3745;43.3532;-1.655;REF;13.85;19.49;8.26;22.56;0.3;5.8;8.4;1392.69;256.27;379.82;38.93;61.88;3.6;0;34;
3746;43.3568;-1.5566;REF;13.91;19.56;8.31;22.63;0.3;5.9;8.7;1386.49;255.29;377.89;38.64;61.69;3.6;0;55;
3747;43.3603;-1.4582;REF;13.82;20.12;7.68;24.39;1.2;12.3;6.6;1402.76;244.7;400.45;35.93;56.91;3.6;0;56;
3748;43.3637;-1.3598;REF;13.28;19.55;7.19;23.73;1;10.6;4.4;1452.72;253.58;415.99;37.23;58.17;3.7;0;54;
3749;43.3671;-1.2613;REF;13.48;19.76;7.37;23.98;1.1;11.3;5.1;1431.21;249.8;409.25;36.77;57.12;3.7;0;57;
3750;43.3703;-1.1629;REF;13.45;19.73;7.35;23.94;1.1;11.3;5;1433.8;250.19;409.73;36.83;56.08;3.6;0;57;
