#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 16h06 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MAX
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
4465;43.7295;-1.185;REF;13.57;20.33;7.06;24.89;1;15.1;8.4;1257.6;228.46;356.3;33.27;52.63;3.7;1;52;
4466;43.7326;-1.0859;REF;13.7;20.48;7.15;25.13;1.1;16;8.6;1245.2;226.32;352.85;32.97;52.22;3.8;1;64;
4467;43.7357;-0.9868;REF;13.75;20.54;7.18;25.23;1.2;16.2;8.5;1234.92;222.16;351.88;32.68;53.57;3.7;1;67;
4468;43.7387;-0.8877;REF;13.26;20.64;6.29;25.8;2;20.3;6.6;1011.91;198.66;278.82;26.9;48.91;3.7;2;85;
4469;43.7416;-0.7886;REF;13.2;20.56;6.25;25.68;1.9;19.8;6.6;1015.27;200.2;277.96;27.83;47.5;3.8;2;77;
4470;43.7444;-0.6895;REF;13.2;20.56;6.25;25.69;1.8;19.9;6.5;1019.98;204.66;280.01;27.39;49.22;3.7;2;78;
4471;43.7472;-0.5904;REF;13.16;20.51;6.22;25.6;1.7;19.5;6.4;1023.87;205.42;281.11;27.35;49.34;3.7;2;77;
4472;43.7498;-0.4912;REF;13.05;20.37;6.15;25.38;1.7;18.1;6.2;1038.29;212.05;283.89;27.59;55.04;3.7;2;74;
4473;43.7523;-0.3921;REF;12.97;20.27;6.1;25.22;1.6;17.5;6.4;1039.11;207.88;287.1;28.06;49.45;3.8;2;71;
4474;43.7548;-0.293;REF;13;20.31;6.13;25.29;1.5;17.9;6.3;1036.54;207.32;286.24;27.98;49.36;3.8;2;76;
4606;43.7947;-1.3878;REF;13.78;20.04;7.73;24;0.6;9.4;9.3;1187.51;213.79;340.11;32.81;58.49;3.8;0;66;
4607;43.798;-1.2886;REF;13.69;19.95;7.65;23.88;0.6;9.3;9;1194.47;215.18;342.09;32.99;58.71;3.7;0;54;
4608;43.8013;-1.1894;REF;12.98;19.98;6.34;25.1;1.5;17.1;5.8;1154.12;205.83;338.42;30.44;53.81;3.8;1;56;
4609;43.8045;-1.0902;REF;12.89;19.87;6.27;24.93;1.4;16.4;5.4;1168.19;207.73;341.73;31;50.63;3.8;1;55;
4610;43.8076;-0.991;REF;12.95;19.95;6.32;25.06;1.4;16.7;5.3;1157.56;203.32;340;30.71;52.31;3.8;1;58;
4611;43.8106;-0.8918;REF;13.33;20.74;6.34;25.97;2.1;21.4;6.8;998.41;195.26;275.5;26.78;52.68;3.7;2;82;
4612;43.8135;-0.7926;REF;13.28;20.67;6.3;25.85;2.1;20.6;6.7;1003.28;196.19;277.3;26.91;52.83;3.7;2;82;
4613;43.8163;-0.6933;REF;13.13;20.48;6.2;25.56;1.8;19.2;6.5;1016.31;198.64;280.95;27.32;48.77;3.8;2;77;
4614;43.819;-0.5941;REF;13.1;20.44;6.18;25.49;1.7;18.6;6.5;1025.82;204.59;282.99;27.59;49.27;3.7;2;77;
4615;43.8217;-0.4948;REF;13.09;20.42;6.18;25.47;1.6;18.5;6.4;1026.81;204.81;283.27;27.6;49.3;3.7;2;79;
4616;43.8242;-0.3956;REF;13.01;20.31;6.12;25.29;1.6;17.9;6.3;1036.54;207.32;286.24;27.98;49.36;3.8;2;77;
4617;43.8267;-0.2963;REF;13.02;20.43;6.1;25.58;2.2;19.3;6;891.08;187.72;241.71;24.61;45.91;3.8;2;96;
4750;43.8699;-1.2932;REF;13.69;19.94;7.65;23.87;0.6;9;9;1195.07;215.26;340.68;32.63;57.08;3.7;0;49;
4751;43.8731;-1.1939;REF;12.97;19.97;6.34;25.09;1.5;17;5.7;1154.75;205.95;338.61;30.45;53.83;3.8;1;54;
4752;43.8763;-1.0945;REF;12.85;19.81;6.24;24.84;1.3;16;5.4;1167.07;208.07;342.25;30.77;54.2;3.7;1;52;
4753;43.8794;-0.9952;REF;12.84;19.81;6.24;24.84;1.3;15.8;5.2;1165.7;205.39;341.66;31.07;54.22;3.8;1;54;
4754;43.8824;-0.8959;REF;12.94;19.93;6.31;25.04;1.3;16.8;5.6;1150.86;205.01;338.8;30.67;60.46;3.7;2;58;
4755;43.8853;-0.7965;REF;13;20.01;6.36;25.16;1.4;17.4;5.8;1144.61;204.01;336.53;30.56;60.27;3.7;2;64;
4756;43.8882;-0.6972;REF;13.23;20.61;6.27;25.76;1.8;20.4;6.9;1004.3;195.46;277.81;26.68;52.31;3.7;2;82;
4757;43.8909;-0.5978;REF;13.16;20.52;6.22;25.61;1.7;19.5;6.6;1020.55;203.6;281.64;27.48;49.11;3.7;2;75;
4758;43.8935;-0.4984;REF;13.13;20.48;6.2;25.56;1.7;19.1;6.5;1023.04;204.08;282.25;27.53;49.19;3.7;2;78;
4759;43.8961;-0.399;REF;13.08;20.42;6.17;25.46;1.7;18.4;6.3;1028.43;203.63;284.22;27.17;49.31;3.8;2;82;
4760;43.8985;-0.2996;REF;13.11;20.54;6.15;25.78;2.3;20.5;5.8;885.59;184.62;240.35;23.99;44.97;3.7;2;106;
4893;43.9417;-1.2978;REF;13.63;19.88;7.6;23.77;0.6;9;9;1197.64;218.1;344.23;31.88;62.21;3.8;1;76;
4894;43.945;-1.1983;REF;13.5;19.73;7.5;23.55;0.5;8.3;8.8;1209.61;220.39;347.49;32;58.11;3.7;1;59;
4895;43.9482;-1.0989;REF;12.83;19.8;6.23;24.83;1.3;15.9;5.4;1166.69;205.62;339.72;30.82;52.64;3.7;2;53;
4896;43.9513;-0.9994;REF;12.77;19.73;6.19;24.72;1.3;15.5;5.3;1172.33;206.63;342.21;30.98;52.83;3.7;2;56;
4897;43.9543;-0.9;REF;12.82;19.78;6.22;24.81;1.2;15.8;5.5;1162.14;207.01;340.77;31.01;60.83;3.8;2;56;
4898;43.9572;-0.8005;REF;12.9;19.89;6.28;24.97;1.4;16.5;5.4;1152.86;201.24;339.33;30.7;56.17;3.7;2;60;
4899;43.96;-0.701;REF;13.13;20.48;6.2;25.55;1.7;19.3;6.7;1013.35;197.1;280.38;27.51;52.58;3.7;2;65;
4900;43.9628;-0.6015;REF;13.14;20.5;6.21;25.58;1.7;19.4;6.6;1012.89;195.13;280.12;27.04;48.8;3.7;2;68;
4901;43.9654;-0.502;REF;12.74;20.23;5.75;25.77;2.2;21.2;4.1;941.48;190.08;261.71;25;46.22;3.7;3;80;
4902;43.968;-0.4025;REF;12.66;20.12;5.69;25.61;2.1;20.1;4;951.75;194.45;264.06;25.23;44.64;3.7;3;90;
4903;43.9704;-0.303;REF;12.54;19.97;5.61;25.38;2;19;3.9;963.68;198.58;268.29;25.45;44.94;3.7;3;88;
4904;43.9728;-0.2034;REF;12.96;20.35;6.05;25.46;2.1;18.8;6.2;896.83;186.97;243.44;24.06;45.32;3.7;2;105;
4905;43.9751;-0.1039;REF;12.86;20.22;6;25.23;1.9;18.1;6.1;903.31;188.12;246.03;24.98;45.93;3.7;2;93;
4906;43.9773;-0.0043;REF;12.76;20.09;5.93;25.01;1.8;17.1;6.4;911.74;191.14;247.26;24.92;48.85;3.7;2;93;
5036;44.0136;-1.3024;REF;13.66;19.91;7.64;23.8;0.7;8.8;9;1193.5;215.96;343.57;31.96;58.84;3.7;1;81;
5037;44.0168;-1.2028;REF;13.61;19.85;7.6;23.72;0.6;8.5;9;1198.05;216.77;344.84;32.05;58.98;3.7;1;51;
5038;44.02;-1.1032;REF;12.89;19.88;6.28;24.95;1.4;16.4;5.4;1160.92;204.58;338.84;30.65;52.45;3.7;2;59;
5039;44.0231;-1.0037;REF;12.82;19.78;6.22;24.8;1.3;15.8;5.3;1168.29;205.9;341.42;30.85;52.69;3.7;2;52;
5040;44.0261;-0.9041;REF;12.84;19.82;6.24;24.86;1.3;15.9;5.2;1159.53;205.36;340.71;30.61;56.45;3.8;2;52;
5041;44.0291;-0.8045;REF;12.67;19.8;6.02;25.1;2;18.2;3.4;1066.94;198.21;306.93;28.84;54.4;3.7;2;60;
5042;44.0319;-0.7049;REF;12.63;20.08;5.67;25.54;2.1;19.9;3.8;949.84;194.55;264.47;25.57;49.51;3.8;3;76;
5043;44.0346;-0.6052;REF;12.64;20.1;5.68;25.58;2.1;20.1;4.1;950.41;193.76;264.54;25.28;45.28;3.7;3;71;
5044;44.0373;-0.5056;REF;12.63;20.08;5.67;25.55;2;19.7;3.8;950.48;193.76;264.63;25.56;42.89;3.7;3;81;
5045;44.0398;-0.406;REF;12.66;20.13;5.7;25.62;2.1;20.4;4.1;951.35;194.36;263.94;25.23;44.62;3.7;3;75;
