#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 17h18 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : Q50
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     GWL30 : Niveau de réchauffement Monde 3.0 degrés -> 2100 / France +4°C
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#     ATMm_yr : Ecart de température moyenne annuelle (°C)
#     ATMm_seas_JJA : Ecart de température moyenne en été (°C)
#     ATMm_seas_DJF : Ecart de température moyenne en hiver (°C)
#     ATXm_seas_JJA : Ecart de température maximale en été (°C)
#     ATX35D_yr : Ecart de nombre de jours avec tx >= 35°c (jour(s))
#     ATX30D_yr : Ecart de nombre de jours avec tx >= 30°c (jour(s))
#     ATR_yr : Ecart de nombre de nuits tropicales (jour(s))
#     ARRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     AIFM40_yr : Ecart de indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     ASWI04_yr : Ecart de nombre de jours avec swi < 0.4 (jour(s))
#     ARRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ARRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ARRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ARRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ARRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;ATMm_yr;ATMm_seas_JJA;ATMm_seas_DJF;ATXm_seas_JJA;ATX35D_yr;ATX30D_yr;ATR_yr;ARRq99refD_yr;AIFM40_yr;ASWI04_yr;ARRR_yr;ARRR_seas_JJA;ARRR_seas_DJF;ARRRq99_yr;ARRx1d_yr;
2336;42.6915;0.4373;GWL30;6.17;14.21;-0.27;16.97;0;0;0.4;1456.29;322.85;348.15;48.8;81.81;3.5;1;61;4.28;5.22;3.62;5.6;0;0;0.4;-0.2;1;53;-0.17;-0.2;-0.12;0;0.1;
2474;42.7535;-0.0524;GWL30;8.52;16.77;1.67;19.42;0;0.2;4.9;1340.32;284.26;277.56;43.5;75.7;3.5;0;80;4.45;5.64;3.76;5.63;0;0.2;4.9;-0.1;0;50;-0.17;-0.18;-0.2;-0.03;0.08;
2475;42.7557;0.045;GWL30;9.37;17.74;2.41;20.7;0;1.2;7.9;1305.56;278.05;292.22;41.72;73.54;3.6;0;87;4.41;5.75;3.7;5.81;0;1.2;7.9;0;0;52;-0.16;-0.17;-0.16;0;0.08;
2476;42.7577;0.1425;GWL30;7.53;15.82;0.99;18.33;0;0.1;1.9;1408.25;313.1;316.3;45.84;77.18;4;0;64;4.26;5.43;3.76;5.51;0;0.1;1.9;0.2;0;46;-0.15;-0.14;-0.11;0.01;0.09;
2477;42.7597;0.24;GWL30;8.79;17.04;1.91;19.97;0;0.6;5.5;1448.22;292.14;321.45;44.72;73.45;4.1;0;69;4.22;5.36;3.51;5.44;0;0.6;5.5;0.4;0;48;-0.09;-0.17;-0.06;0.04;0.07;
2478;42.7616;0.3374;GWL30;9.03;17.28;2.23;20.28;0;0.8;6.7;1439.87;293.15;311.37;44.12;72.76;4.3;0;64;4.22;5.39;3.5;5.49;0;0.8;6.7;0.7;0;46;-0.08;-0.14;-0.07;0.05;0.06;
2479;42.7634;0.4349;GWL30;9.46;17.37;2.54;20.76;0;2;10.2;1210.43;232.16;307.44;37.2;66.89;4;1;92;4.15;5.01;3.46;5.42;0;2;10.2;0.3;1;50;-0.08;-0.19;-0.08;0.02;0.02;
2615;42.8208;-0.2505;GWL30;6.46;14.54;-0.15;16.97;0;0;0.6;1451.7;285.8;331.15;50.76;85.02;3.8;0;69;4.36;5.37;3.66;5.39;0;0;0.6;0.1;0;52;-0.17;-0.22;-0.14;0.02;0.1;
2616;42.8231;-0.1529;GWL30;7.63;15.83;0.67;18.86;0;0.1;3;1406.07;307.3;318.37;46.12;78.32;3.8;1;68;4.32;5.45;3.46;5.93;0;0.1;3;0.1;1;44;-0.16;-0.14;-0.12;0.02;0.11;
2617;42.8254;-0.0554;GWL30;8.13;16.27;1.4;19.16;0;0.2;3.7;1478.16;310.83;333.93;46.74;78.59;4.1;0;60;4.24;5.3;3.53;5.46;0;0.2;3.7;0.4;0;48;-0.09;-0.12;-0.07;0.02;0.1;
2618;42.8275;0.0422;GWL30;9.37;17.73;2.58;20.92;0;1.5;8.8;1297.15;255.83;358.54;41.2;74.24;4;0;89;4.23;5.53;3.46;5.89;0;1.5;8.7;0.2;0;47;-0.11;-0.1;-0.09;0.02;0.13;
2619;42.8296;0.1398;GWL30;6.39;14.36;-0.04;17.09;0;0;0.9;1367.85;278.4;385.85;45.24;77.59;3.7;1;70;4.3;5.16;3.7;5.45;0;0;0.9;0;1;53;-0.17;-0.12;-0.11;-0.03;0;
2620;42.8315;0.2374;GWL30;8.47;16.23;2;19.16;0;0.5;4.7;1387.44;249.59;397.5;41.71;74.38;4;0;73;3.94;4.67;3.45;4.88;0;0.5;4.7;0.3;0;50;-0.08;-0.15;-0.02;0.01;0.05;
2621;42.8334;0.335;GWL30;12.35;20.18;5.09;25.3;3;27.5;15.8;1060.81;200.5;282.25;32.29;60.19;4.3;2;113;3.99;4.66;3.39;5.41;3;26.3;15.5;0.6;2;53;-0.05;-0.17;-0.02;0.05;0.1;
2622;42.8352;0.4326;GWL30;11.14;19.07;4.12;23.23;0.6;14.6;15.9;1117.3;198.11;286.39;34.94;64.28;4;2;113;4.05;4.82;3.46;5.12;0.6;14.6;15.6;0.3;2;58;-0.07;-0.25;-0.05;0.04;0.04;
2758;42.8926;-0.2537;GWL30;9.01;16.77;2.22;20.18;0;1.4;6.1;1437.11;289.26;347.51;44.57;75.95;4.2;1;73;4.01;4.7;3.42;5.24;0;1.4;6.1;0.5;0;41;-0.08;-0.13;0.02;0.04;0.11;
2759;42.895;-0.156;GWL30;9.39;17.23;2.65;20.74;0;2.1;7.4;1304.98;243.64;381.3;40.88;75.42;3.8;1;87;3.98;4.81;3.39;5.39;0;2.1;7.3;0.2;1;49;-0.09;-0.11;-0.03;0.01;0.1;
2760;42.8972;-0.0584;GWL30;11.07;18.77;4.12;23;1;14.5;9.4;1209.91;174.22;358.83;37.34;70.44;3.9;2;105;3.82;4.4;3.23;4.95;1;14.4;9.3;0.3;2;54;-0.08;-0.32;0.02;0.02;0.09;
2761;42.8993;0.0393;GWL30;9.75;17.19;2.83;20.83;0.1;3.5;7.7;1235.8;209.96;379.59;39.08;74.64;3.5;1;97;3.88;4.31;3.22;4.73;0.1;3.5;7.6;-0.1;1;55;-0.12;-0.24;-0.01;0;0;
2762;42.9014;0.137;GWL30;7.52;14.93;0.95;17.67;0;0.2;2.3;1337.84;229.98;393.9;44.18;80.11;3.8;0;90;3.86;4.23;3.32;4.4;0;0.2;2.3;0.1;0;51;-0.14;-0.25;-0.07;0;0.01;
2763;42.9034;0.2348;GWL30;8.56;16.28;2.05;19.22;0;0.6;5.2;1391.81;245.28;390.14;41.29;75.39;4.1;0;76;3.9;4.56;3.45;4.68;0;0.6;5.2;0.4;0;51;-0.08;-0.16;-0.02;0.01;0.02;
